Time (s),EMG Voltage (V)
0,1.395156
0.0001,1.39419
0.0002,1.392579
0.0003,1.397089
0.0004,1.393868
0.0005,1.395156
0.0006,1.392901
0.0007,1.391613
0.0008,1.389358
0.0009,1.388714
0.001,1.390969
0.0011,1.388714
0.0012,1.389036
0.0013,1.385815
0.0014,1.384205
0.0015,1.382272
0.0016,1.384849
0.0017,1.380018
0.0018,1.380662
0.0019,1.379373
0.002,1.380662
0.0021,1.38034
0.0022,1.38034
0.0023,1.376152
0.0024,1.376797
0.0025,1.377119
0.0026,1.375508
0.0027,1.372931
0.0028,1.373898
0.0029,1.373254
0.003,1.369388
0.0031,1.369066
0.0032,1.369066
0.0033,1.3681
0.0034,1.366812
0.0035,1.365845
0.0036,1.36649
0.0037,1.365201
0.0038,1.365845
0.0039,1.363913
0.004,1.366167
0.0041,1.363913
0.0042,1.364557
0.0043,1.36649
0.0044,1.364879
0.0045,1.365845
0.0046,1.365845
0.0047,1.366812
0.0048,1.364879
0.0049,1.369066
0.005,1.367134
0.0051,1.367456
0.0052,1.369066
0.0053,1.370033
0.0054,1.366812
0.0055,1.367778
0.0056,1.3681
0.0057,1.369388
0.0058,1.3681
0.0059,1.372287
0.006,1.371321
0.0061,1.370355
0.0062,1.373254
0.0063,1.371321
0.0064,1.373576
0.0065,1.372931
0.0066,1.372609
0.0067,1.374542
0.0068,1.370355
0.0069,1.373254
0.007,1.371965
0.0071,1.371965
0.0072,1.374864
0.0073,1.372931
0.0074,1.375508
0.0075,1.374542
0.0076,1.373576
0.0077,1.377119
0.0078,1.372931
0.0079,1.374864
0.008,1.371965
0.0081,1.375508
0.0082,1.375186
0.0083,1.374542
0.0084,1.374542
0.0085,1.375508
0.0086,1.376474
0.0087,1.379695
0.0088,1.380018
0.0089,1.380018
0.009,1.379373
0.0091,1.378407
0.0092,1.38034
0.0093,1.382272
0.0094,1.382272
0.0095,1.381628
0.0096,1.383238
0.0097,1.382594
0.0098,1.385171
0.0099,1.385815
0.01,1.384849
0.0101,1.386137
0.0102,1.387104
0.0103,1.390647
0.0104,1.391291
0.0105,1.390325
0.0106,1.389036
0.0107,1.391935
0.0108,1.38968
0.0109,1.393868
0.011,1.393868
0.0111,1.394512
0.0112,1.395478
0.0113,1.395156
0.0114,1.3958
0.0115,1.396122
0.0116,1.395478
0.0117,1.397411
0.0118,1.399021
0.0119,1.399021
0.012,1.399021
0.0121,1.397411
0.0122,1.39419
0.0123,1.3958
0.0124,1.395156
0.0125,1.3958
0.0126,1.392901
0.0127,1.390647
0.0128,1.38968
0.0129,1.391613
0.013,1.392901
0.0131,1.391291
0.0132,1.388392
0.0133,1.38968
0.0134,1.389358
0.0135,1.387426
0.0136,1.38968
0.0137,1.38968
0.0138,1.389036
0.0139,1.391935
0.014,1.391291
0.0141,1.390002
0.0142,1.39419
0.0143,1.398055
0.0144,1.396766
0.0145,1.396122
0.0146,1.396122
0.0147,1.397733
0.0148,1.401276
0.0149,1.40353
0.015,1.405141
0.0151,1.405141
0.0152,1.404819
0.0153,1.406429
0.0154,1.405785
0.0155,1.40804
0.0156,1.409328
0.0157,1.410294
0.0158,1.412227
0.0159,1.409972
0.016,1.41416
0.0161,1.415126
0.0162,1.414482
0.0163,1.418025
0.0164,1.413515
0.0165,1.417058
0.0166,1.416092
0.0167,1.416414
0.0168,1.414482
0.0169,1.416736
0.017,1.418669
0.0171,1.420279
0.0172,1.420279
0.0173,1.421246
0.0174,1.421568
0.0175,1.42189
0.0176,1.422212
0.0177,1.422856
0.0178,1.418347
0.0179,1.4235
0.018,1.423178
0.0181,1.425433
0.0182,1.423822
0.0183,1.422856
0.0184,1.4235
0.0185,1.425111
0.0186,1.426077
0.0187,1.425111
0.0188,1.422534
0.0189,1.426721
0.019,1.4235
0.0191,1.4235
0.0192,1.422856
0.0193,1.423178
0.0194,1.42189
0.0195,1.424467
0.0196,1.421568
0.0197,1.419957
0.0198,1.418025
0.0199,1.418669
0.02,1.41738
0.0201,1.41738
0.0202,1.413515
0.0203,1.411583
0.0204,1.411905
0.0205,1.412549
0.0206,1.410939
0.0207,1.413515
0.0208,1.412227
0.0209,1.40965
0.021,1.409006
0.0211,1.406429
0.0212,1.408362
0.0213,1.406107
0.0214,1.409972
0.0215,1.411583
0.0216,1.413193
0.0217,1.412549
0.0218,1.411905
0.0219,1.41416
0.022,1.415448
0.0221,1.415448
0.0222,1.414482
0.0223,1.417058
0.0224,1.418669
0.0225,1.418347
0.0226,1.41738
0.0227,1.419635
0.0228,1.421246
0.0229,1.418669
0.023,1.421246
0.0231,1.418669
0.0232,1.417703
0.0233,1.421246
0.0234,1.420601
0.0235,1.420924
0.0236,1.422856
0.0237,1.422534
0.0238,1.426399
0.0239,1.424144
0.024,1.425755
0.0241,1.426721
0.0242,1.428332
0.0243,1.428654
0.0244,1.431231
0.0245,1.430586
0.0246,1.433485
0.0247,1.434129
0.0248,1.437672
0.0249,1.439283
0.025,1.443148
0.0251,1.441538
0.0252,1.447979
0.0253,1.450234
0.0254,1.44959
0.0255,1.455388
0.0256,1.45571
0.0257,1.458931
0.0258,1.459575
0.0259,1.46344
0.026,1.464084
0.0261,1.467305
0.0262,1.470526
0.0263,1.470204
0.0264,1.47568
0.0265,1.476002
0.0266,1.476646
0.0267,1.476646
0.0268,1.477612
0.0269,1.481155
0.027,1.479867
0.0271,1.484376
0.0272,1.485342
0.0273,1.484054
0.0274,1.484376
0.0275,1.483732
0.0276,1.485342
0.0277,1.486309
0.0278,1.487919
0.0279,1.48502
0.028,1.487919
0.0281,1.486309
0.0282,1.485665
0.0283,1.483088
0.0284,1.485342
0.0285,1.481477
0.0286,1.480833
0.0287,1.475357
0.0288,1.476002
0.0289,1.473103
0.029,1.474713
0.0291,1.471492
0.0292,1.46956
0.0293,1.469238
0.0294,1.466339
0.0295,1.466983
0.0296,1.462796
0.0297,1.462152
0.0298,1.460541
0.0299,1.459253
0.03,1.458286
0.0301,1.455388
0.0302,1.45732
0.0303,1.453455
0.0304,1.453777
0.0305,1.450234
0.0306,1.449912
0.0307,1.44959
0.0308,1.447335
0.0309,1.446691
0.031,1.446369
0.0311,1.444759
0.0312,1.446369
0.0313,1.444759
0.0314,1.44347
0.0315,1.442826
0.0316,1.439283
0.0317,1.442504
0.0318,1.439927
0.0319,1.439283
0.032,1.438961
0.0321,1.437995
0.0322,1.436706
0.0323,1.432519
0.0324,1.433807
0.0325,1.42962
0.0326,1.428654
0.0327,1.428332
0.0328,1.426077
0.0329,1.423178
0.033,1.427043
0.0331,1.426721
0.0332,1.425433
0.0333,1.423178
0.0334,1.420279
0.0335,1.421568
0.0336,1.42189
0.0337,1.421246
0.0338,1.420924
0.0339,1.419957
0.034,1.418669
0.0341,1.41738
0.0342,1.418347
0.0343,1.414804
0.0344,1.411261
0.0345,1.412549
0.0346,1.410294
0.0347,1.411905
0.0348,1.409328
0.0349,1.406429
0.035,1.40804
0.0351,1.406429
0.0352,1.408362
0.0353,1.406107
0.0354,1.405141
0.0355,1.404175
0.0356,1.408362
0.0357,1.406751
0.0358,1.402886
