Time (s),EMG Voltage (V)
0.0321,1.410939
0.0322,1.396444
0.0323,1.389036
0.0324,1.37583
0.0325,1.365845
0.0326,1.356827
0.0327,1.351351
0.0328,1.344909
0.0329,1.335568
0.033,1.332025
0.0331,1.324617
0.0332,1.319786
0.0333,1.320108
0.0334,1.317853
0.0335,1.320752
0.0336,1.321396
0.0337,1.322041
0.0338,1.324295
0.0339,1.325906
0.034,1.330093
0.0341,1.333958
0.0342,1.333636
0.0343,1.338789
0.0344,1.343621
0.0345,1.346198
0.0346,1.34813
0.0347,1.356827
0.0348,1.361658
0.0349,1.367778
0.035,1.374864
0.0351,1.379373
0.0352,1.388714
0.0353,1.396122
0.0354,1.399021
0.0355,1.409328
0.0356,1.418669
0.0357,1.427365
0.0358,1.43574
0.0359,1.448624
0.036,1.456676
0.0361,1.470848
0.0362,1.476324
0.0363,1.484054
0.0364,1.490818
0.0365,1.498548
0.0366,1.504346
0.0367,1.507889
0.0368,1.509177
0.0369,1.508533
0.037,1.507889
0.0371,1.506601
0.0372,1.50338
0.0373,1.503058
0.0374,1.503058
0.0375,1.49887
0.0376,1.498226
0.0377,1.495005
0.0378,1.493395
0.0379,1.490496
0.038,1.487597
0.0381,1.487597
0.0382,1.485665
0.0383,1.48341
0.0384,1.485342
0.0385,1.485342
0.0386,1.487919
0.0387,1.490174
0.0388,1.493395
0.0389,1.500481
0.039,1.502413
0.0391,1.50499
0.0392,1.514975
0.0393,1.518196
0.0394,1.523994
0.0395,1.53108
0.0396,1.539132
0.0397,1.548151
0.0398,1.554593
0.0399,1.562323
0.04,1.565544
0.0401,1.573918
0.0402,1.579716
0.0403,1.582293
0.0404,1.587124
0.0405,1.590989
0.0406,1.592922
0.0407,1.595821
0.0408,1.594532
0.0409,1.593888
0.041,1.594855
0.0411,1.590989
0.0412,1.5926
0.0413,1.588091
0.0414,1.587124
0.0415,1.579072
0.0416,1.576495
0.0417,1.572952
0.0418,1.573596
0.0419,1.569409
0.042,1.568443
0.0421,1.567799
0.0422,1.568121
0.0423,1.568443
0.0424,1.568765
0.0425,1.571986
0.0426,1.569409
0.0427,1.574563
0.0428,1.577784
0.0429,1.579394
0.043,1.581004
0.0431,1.584548
0.0432,1.589379
0.0433,1.592278
0.0434,1.591956
0.0435,1.591312
0.0436,1.591956
0.0437,1.588091
0.0438,1.583903
0.0439,1.584548
0.044,1.575851
0.0441,1.567477
0.0442,1.562323
0.0443,1.557492
0.0444,1.553626
0.0445,1.552016
0.0446,1.548473
0.0447,1.545252
0.0448,1.541709
0.0449,1.538166
0.045,1.535267
0.0451,1.532368
0.0452,1.533334
0.0453,1.528181
0.0454,1.523994
0.0455,1.52335
0.0456,1.52335
0.0457,1.520773
0.0458,1.51884
0.0459,1.51723
0.046,1.518196
0.0461,1.515941
0.0462,1.517552
0.0463,1.515297
0.0464,1.514975
0.0465,1.51723
0.0466,1.513687
0.0467,1.511432
0.0468,1.508855
0.0469,1.508855
0.047,1.504668
0.0471,1.499515
0.0472,1.495005
0.0473,1.490496
0.0474,1.488241
0.0475,1.48341
0.0476,1.477934
0.0477,1.478901
0.0478,1.472781
0.0479,1.468271
0.048,1.464406
0.0481,1.458931
0.0482,1.456354
0.0483,1.453777
0.0484,1.450234
0.0485,1.447657
0.0486,1.441538
0.0487,1.436062
0.0488,1.428654
0.0489,1.423822
0.049,1.413193
0.0491,1.406429
0.0492,1.399343
0.0493,1.397733
0.0494,1.393223
0.0495,1.38968
0.0496,1.382272
0.0497,1.382272
0.0498,1.379373
0.0499,1.380018
0.05,1.375186
0.0501,1.373898
0.0502,1.378407
0.0503,1.376797
0.0504,1.382594
0.0505,1.383561
0.0506,1.380018
0.0507,1.382916
0.0508,1.381306
0.0509,1.378407
0.051,1.374864
0.0511,1.371965
0.0512,1.369066
0.0513,1.362947
0.0514,1.361658
0.0515,1.360692
0.0516,1.358759
0.0517,1.362947
0.0518,1.367456
0.0519,1.372931
0.052,1.378407
0.0521,1.393223
0.0522,1.402564
0.0523,1.414482
0.0524,1.42801
0.0525,1.440571
0.0526,1.454099
0.0527,1.470848
0.0528,1.48502
0.0529,1.50338
0.053,1.519484
0.0531,1.538166
0.0532,1.550083
0.0533,1.5649
0.0534,1.579716
0.0535,1.593566
0.0536,1.601619
0.0537,1.613214
0.0538,1.623521
0.0539,1.633506
0.054,1.640914
0.0541,1.647034
0.0542,1.655086
0.0543,1.66185
0.0544,1.66797
0.0545,1.674734
0.0546,1.68021
0.0547,1.685363
0.0548,1.691161
0.0549,1.696636
0.055,1.701468
0.0551,1.705011
0.0552,1.707588
0.0553,1.711453
0.0554,1.713707
0.0555,1.71725
0.0556,1.724981
0.0557,1.72337
0.0558,1.72949
0.0559,1.732389
0.056,1.738509
0.0561,1.740441
0.0562,1.743984
0.0563,1.747849
0.0564,1.749782
0.0565,1.75558
0.0566,1.756546
0.0567,1.762022
0.0568,1.766531
0.0569,1.76943
0.057,1.773295
0.0571,1.776516
0.0572,1.775872
0.0573,1.781025
0.0574,1.781347
0.0575,1.783602
0.0576,1.780381
0.0577,1.785212
0.0578,1.783602
0.0579,1.782636
0.058,1.782958
0.0581,1.779737
0.0582,1.780703
0.0583,1.775228
0.0584,1.769752
0.0585,1.764598
0.0586,1.762022
0.0587,1.751715
0.0588,1.743018
0.0589,1.731423
0.059,1.713385
0.0591,1.695026
0.0592,1.6757
0.0593,1.652832
0.0594,1.631895
0.0595,1.611281
0.0596,1.586158
0.0597,1.558136
0.0598,1.540421
0.0599,1.518196
0.06,1.493395
0.0601,1.470848
0.0602,1.448624
0.0603,1.425755
0.0604,1.409972
0.0605,1.388392
0.0606,1.371643
0.0607,1.353606
0.0608,1.336535
0.0609,1.319464
0.061,1.302393
0.0611,1.287254
0.0612,1.270183
0.0613,1.249247
0.0614,1.232498
0.0615,1.212206
0.0616,1.192559
0.0617,1.171945
0.0618,1.152941
0.0619,1.127496
0.062,1.107526
0.0621,1.085623
0.0622,1.064365
0.0623,1.04826
0.0624,1.029901
0.0625,1.014763
0.0626,1.004778
0.0627,0.992216
0.0628,0.984486
0.0629,0.984164
0.063,0.979654
0.0631,0.973857
0.0632,0.974823
0.0633,0.969025
0.0634,0.967415
0.0635,0.969347
0.0636,0.975145
0.0637,0.981587
0.0638,0.993826
0.0639,1.00059
0.064,1.01444
0.0641,1.024103
0.0642,1.035054
0.0643,1.046006
0.0644,1.055668
0.0645,1.06662
0.0646,1.076927
0.0647,1.089166
0.0648,1.099151
0.0649,1.107204
0.065,1.118155
0.0651,1.132005
0.0652,1.141668
0.0653,1.152297
0.0654,1.165503
0.0655,1.177742
0.0656,1.192559
0.0657,1.207053
0.0658,1.221547
0.0659,1.234109
0.066,1.246348
0.0661,1.256655
0.0662,1.267284
0.0663,1.283067
0.0664,1.295629
0.0665,1.313666
0.0666,1.327838
0.0667,1.34813
0.0668,1.365523
0.0669,1.38195
0.067,1.402242
0.0671,1.422856
0.0672,1.441538
0.0673,1.45732
0.0674,1.476324
0.0675,1.495649
0.0676,1.509177
0.0677,1.526248
0.0678,1.543642
0.0679,1.557169
0.068,1.571986
0.0681,1.584225
0.0682,1.596787
0.0683,1.607094
0.0684,1.620944
0.0685,1.630607
0.0686,1.638015
0.0687,1.646068
0.0688,1.655086
0.0689,1.657341
0.069,1.659918
0.0691,1.659918
0.0692,1.657985
0.0693,1.658951
0.0694,1.65412
0.0695,1.64639
0.0696,1.638337
0.0697,1.632218
0.0698,1.625131
0.0699,1.611926
0.07,1.60033
0.0701,1.591956
0.0702,1.580682
0.0703,1.57102
0.0704,1.56039
0.0705,1.551372
0.0706,1.537522
0.0707,1.523994
0.0708,1.51111
0.0709,1.499192
0.071,1.48341
0.0711,1.472137
0.0712,1.456676
0.0713,1.441538
0.0714,1.429942
0.0715,1.418347
0.0716,1.404175
0.0717,1.390969
0.0718,1.376152
0.0719,1.36649
0.072,1.350385
0.0721,1.335568
0.0722,1.323651
0.0723,1.311089
0.0724,1.293052
0.0725,1.279202
0.0726,1.262131
0.0727,1.24667
0.0728,1.229277
0.0729,1.215427
0.073,1.19578
0.0731,1.181929
0.0732,1.165503
0.0733,1.147143
0.0734,1.12975
0.0735,1.113323
0.0736,1.093998
0.0737,1.081436
0.0738,1.062432
0.0739,1.046972
0.074,1.034088
0.0741,1.021204
0.0742,1.009287
0.0743,0.996081
0.0744,0.985774
0.0745,0.979332
0.0746,0.97128
0.0747,0.961939
0.0748,0.956141
0.0749,0.951632
0.075,0.944868
0.0751,0.943258
0.0752,0.933917
0.0753,0.926187
0.0754,0.921677
0.0755,0.914269
0.0756,0.909116
0.0757,0.902996
0.0758,0.896554
0.0759,0.890112
0.076,0.888824
0.0761,0.876906
0.0762,0.871753
0.0763,0.869498
0.0764,0.8637
0.0765,0.862734
0.0766,0.858225
0.0767,0.852749
0.0768,0.856936
0.0769,0.857903
0.077,0.862412
0.0771,0.864022
0.0772,0.869498
0.0773,0.875296
0.0774,0.885281
0.0775,0.890434
0.0776,0.900419
0.0777,0.913303
0.0778,0.924898
0.0779,0.93746
0.078,0.950666
0.0781,0.964516
0.0782,0.975145
0.0783,0.99125
0.0784,1.004456
0.0785,1.021204
0.0786,1.034088
0.0787,1.049549
0.0788,1.066298
0.0789,1.077571
0.079,1.096252
0.0791,1.113323
0.0792,1.137158
0.0793,1.151975
0.0794,1.170978
0.0795,1.190626
0.0796,1.209307
0.0797,1.224768
0.0798,1.243772
0.0799,1.257622
0.08,1.278236
0.0801,1.293052
0.0802,1.307868
0.0803,1.323329
0.0804,1.336213
0.0805,1.350063
0.0806,1.361014
0.0807,1.371321
0.0808,1.386459
0.0809,1.391935
0.081,1.402886
0.0811,1.411583
0.0812,1.424144
0.0813,1.432197
0.0814,1.448302
0.0815,1.462152
0.0816,1.47729
0.0817,1.495649
0.0818,1.51272
0.0819,1.531724
0.082,1.550406
0.0821,1.567477
0.0822,1.586158
0.0823,1.600008
0.0824,1.615147
0.0825,1.63415
0.0826,1.648966
0.0827,1.659918
0.0828,1.670869
0.0829,1.683431
0.083,1.691805
0.0831,1.700502
0.0832,1.712097
0.0833,1.718217
0.0834,1.724659
0.0835,1.732389
0.0836,1.733999
0.0837,1.736254
0.0838,1.740441
0.0839,1.743662
0.084,1.745273
0.0841,1.746239
0.0842,1.744629
0.0843,1.748494
0.0844,1.746883
0.0845,1.743018
0.0846,1.740441
0.0847,1.735932
0.0848,1.730134
0.0849,1.724014
0.085,1.717895
0.0851,1.707266
0.0852,1.700179
0.0853,1.691483
0.0854,1.679243
0.0855,1.664105
0.0856,1.646068
0.0857,1.63254
0.0858,1.615147
0.0859,1.59872
0.086,1.581327
0.0861,1.563289
0.0862,1.546862
0.0863,1.52335
0.0864,1.50338
0.0865,1.48502
0.0866,1.467627
0.0867,1.443148
0.0868,1.423178
0.0869,1.406751
0.087,1.386137
0.0871,1.368422
0.0872,1.351029
0.0873,1.332992
0.0874,1.311734
0.0875,1.297561
0.0876,1.281457
0.0877,1.265996
0.0878,1.255689
0.0879,1.238296
0.088,1.22509
0.0881,1.210918
0.0882,1.201255
0.0883,1.188693
0.0884,1.176776
0.0885,1.166791
0.0886,1.151653
0.0887,1.139413
0.0888,1.130394
0.0889,1.120087
0.089,1.115256
0.0891,1.107848
0.0892,1.097541
0.0893,1.092709
0.0894,1.090777
0.0895,1.088844
0.0896,1.085945
0.0897,1.092709
0.0898,1.097541
0.0899,1.102694
0.09,1.105915
0.0901,1.1159
0.0902,1.127173
0.0903,1.135548
0.0904,1.148754
0.0905,1.160671
0.0906,1.173555
0.0907,1.188049
0.0908,1.201255
0.0909,1.218648
0.091,1.229277
0.0911,1.240229
0.0912,1.250858
0.0913,1.261165
0.0914,1.271472
0.0915,1.283067
0.0916,1.289187
0.0917,1.296273
0.0918,1.302393
0.0919,1.307868
0.092,1.3127
0.0921,1.315599
0.0922,1.319786
0.0923,1.31882
0.0924,1.319464
0.0925,1.320108
0.0926,1.317853
0.0927,1.322685
0.0928,1.320108
0.0929,1.322685
0.093,1.326228
0.0931,1.331381
0.0932,1.335568
0.0933,1.341044
0.0934,1.348452
0.0935,1.351995
0.0936,1.359403
0.0937,1.367778
0.0938,1.373576
0.0939,1.384849
0.094,1.391613
0.0941,1.40192
0.0942,1.410616
0.0943,1.41738
0.0944,1.427043
0.0945,1.433485
0.0946,1.441538
0.0947,1.451845
0.0948,1.460219
0.0949,1.472459
0.095,1.484698
0.0951,1.496294
0.0952,1.507245
0.0953,1.519807
0.0954,1.532046
0.0955,1.542997
0.0956,1.560068
0.0957,1.570697
0.0958,1.581971
0.0959,1.59421
0.096,1.608383
0.0961,1.620944
0.0962,1.632862
0.0963,1.647034
0.0964,1.66024
0.0965,1.672479
0.0966,1.685363
0.0967,1.698891
0.0968,1.710486
0.0969,1.724659
0.097,1.733355
0.0971,1.747205
0.0972,1.753003
0.0973,1.760411
0.0974,1.771684
0.0975,1.773617
0.0976,1.782636
0.0977,1.788111
0.0978,1.792621
0.0979,1.801639
0.098,1.803572
0.0981,1.812268
0.0982,1.816778
0.0983,1.822898
0.0984,1.827407
0.0985,1.833527
0.0986,1.837714
0.0987,1.83868
0.0988,1.848021
0.0989,1.847699
0.099,1.85092
0.0991,1.852208
0.0992,1.854785
0.0993,1.855751
0.0994,1.853174
0.0995,1.854785
0.0996,1.84641
0.0997,1.843512
0.0998,1.83868
0.0999,1.830628
0.1,1.817744
0.1001,1.805504
0.1002,1.788111
0.1003,1.767175
0.1004,1.745595
0.1005,1.726591
0.1006,1.705011
0.1007,1.680854
0.1008,1.656053
0.1009,1.635761
0.101,1.610637
0.1011,1.591634
0.1012,1.571342
0.1013,1.553949
0.1014,1.536555
0.1015,1.523672
0.1016,1.512076
0.1017,1.501125
0.1018,1.493395
0.1019,1.485987
0.102,1.482766
0.1021,1.482121
0.1022,1.480511
0.1023,1.479223
0.1024,1.47729
0.1025,1.47568
0.1026,1.471814
0.1027,1.470204
0.1028,1.468271
0.1029,1.464084
0.103,1.455066
0.1031,1.447979
0.1032,1.439605
0.1033,1.432841
0.1034,1.420924
0.1035,1.409328
0.1036,1.398699
0.1037,1.38968
0.1038,1.37422
0.1039,1.365201
0.104,1.351351
0.1041,1.338145
0.1042,1.326228
0.1043,1.3127
0.1044,1.304647
0.1045,1.290153
0.1046,1.279202
0.1047,1.269217
0.1048,1.257944
0.1049,1.244738
0.105,1.237008
0.1051,1.231532
0.1052,1.220903
0.1053,1.217038
0.1054,1.214461
0.1055,1.214139
0.1056,1.213173
0.1057,1.213173
0.1058,1.218326
0.1059,1.221225
0.106,1.227023
0.1061,1.237652
0.1062,1.244416
0.1063,1.248281
0.1064,1.255367
0.1065,1.260843
0.1066,1.265674
0.1067,1.269861
0.1068,1.27115
0.1069,1.271794
0.107,1.268251
0.1071,1.266962
0.1072,1.261165
0.1073,1.255045
0.1074,1.248603
0.1075,1.236363
0.1076,1.226701
0.1077,1.215105
0.1078,1.195135
0.1079,1.180641
0.108,1.167113
0.1081,1.155518
0.1082,1.14199
0.1083,1.132649
0.1084,1.120087
0.1085,1.11429
0.1086,1.103983
0.1087,1.097219
0.1088,1.088844
0.1089,1.084979
0.109,1.078537
0.1091,1.078859
0.1092,1.077249
0.1093,1.077893
0.1094,1.077893
0.1095,1.084013
0.1096,1.086912
0.1097,1.093676
0.1098,1.099795
0.1099,1.106881
0.11,1.117833
0.1101,1.124275
0.1102,1.129106
0.1103,1.14199
0.1104,1.145211
0.1105,1.154874
0.1106,1.163892
0.1107,1.169046
0.1108,1.17581
0.1109,1.17742
0.111,1.184506
0.1111,1.185795
0.1112,1.189982
0.1113,1.193203
0.1114,1.196746
0.1115,1.193203
0.1116,1.196746
0.1117,1.199967
0.1118,1.200933
0.1119,1.202866
0.112,1.200289
0.1121,1.205442
0.1122,1.204154
0.1123,1.208341
0.1124,1.214461
0.1125,1.216394
0.1126,1.222835
0.1127,1.228633
0.1128,1.236686
0.1129,1.242161
0.113,1.249247
0.1131,1.257622
0.1132,1.270183
0.1133,1.282423
0.1134,1.290797
0.1135,1.303037
0.1136,1.313666
0.1137,1.323651
0.1138,1.335246
0.1139,1.346842
0.114,1.358759
0.1141,1.365201
0.1142,1.376152
0.1143,1.385493
0.1144,1.395156
0.1145,1.405141
0.1146,1.412227
0.1147,1.411583
0.1148,1.418991
0.1149,1.426077
