Time (s),EMG Voltage (V)
0,1.409328
0.0001,1.409328
0.0002,1.410616
0.0003,1.410616
0.0004,1.410616
0.0005,1.410939
0.0006,1.410616
0.0007,1.412549
0.0008,1.410616
0.0009,1.407718
0.001,1.410616
0.0011,1.410294
0.0012,1.409328
0.0013,1.406107
0.0014,1.409972
0.0015,1.40804
0.0016,1.407396
0.0017,1.407396
0.0018,1.409328
0.0019,1.407718
0.002,1.407073
0.0021,1.407073
0.0022,1.40804
0.0023,1.40353
0.0024,1.405785
0.0025,1.404497
0.0026,1.403208
0.0027,1.40353
0.0028,1.402564
0.0029,1.405141
0.003,1.403208
0.0031,1.403208
0.0032,1.402886
0.0033,1.40192
0.0034,1.403853
0.0035,1.399665
0.0036,1.398055
0.0037,1.400309
0.0038,1.399665
0.0039,1.398699
0.004,1.398377
0.0041,1.396766
0.0042,1.396122
0.0043,1.396122
0.0044,1.397411
0.0045,1.398699
0.0046,1.399343
0.0047,1.398699
0.0048,1.396122
0.0049,1.394834
0.005,1.399021
0.0051,1.397733
0.0052,1.395156
0.0053,1.399665
0.0054,1.397733
0.0055,1.395478
0.0056,1.398699
0.0057,1.399021
0.0058,1.398055
0.0059,1.3958
0.006,1.393545
0.0061,1.392579
0.0062,1.392257
0.0063,1.392579
0.0064,1.393868
0.0065,1.390647
0.0066,1.395478
0.0067,1.3958
0.0068,1.391613
0.0069,1.392901
0.007,1.392901
0.0071,1.390969
0.0072,1.391935
0.0073,1.390969
0.0074,1.389036
0.0075,1.38968
0.0076,1.390969
0.0077,1.391291
0.0078,1.388714
0.0079,1.388714
0.008,1.38807
0.0081,1.389358
0.0082,1.391935
0.0083,1.390969
0.0084,1.390647
0.0085,1.389036
0.0086,1.391935
0.0087,1.389358
0.0088,1.388714
0.0089,1.387748
0.009,1.38968
0.0091,1.389358
0.0092,1.390325
0.0093,1.391613
0.0094,1.390325
0.0095,1.396122
0.0096,1.393868
0.0097,1.391291
0.0098,1.394512
0.0099,1.393223
0.01,1.392579
0.0101,1.395156
0.0102,1.393223
0.0103,1.395478
0.0104,1.395478
0.0105,1.393868
0.0106,1.398377
0.0107,1.398055
0.0108,1.395156
0.0109,1.398377
0.011,1.396444
0.0111,1.396766
0.0112,1.400309
0.0113,1.399987
0.0114,1.400954
0.0115,1.398699
0.0116,1.399021
0.0117,1.402564
0.0118,1.400309
0.0119,1.400309
0.012,1.403208
0.0121,1.40192
0.0122,1.399987
0.0123,1.400309
0.0124,1.400632
0.0125,1.401276
0.0126,1.402242
0.0127,1.400954
0.0128,1.403853
0.0129,1.403208
0.013,1.402886
0.0131,1.402242
0.0132,1.405785
0.0133,1.404819
0.0134,1.404819
0.0135,1.405463
0.0136,1.404819
0.0137,1.403853
0.0138,1.406107
0.0139,1.407718
0.014,1.407073
0.0141,1.406751
0.0142,1.405785
0.0143,1.405141
0.0144,1.405463
0.0145,1.405141
0.0146,1.407073
0.0147,1.404819
0.0148,1.407073
0.0149,1.408362
0.015,1.406107
0.0151,1.404497
0.0152,1.407073
0.0153,1.407396
0.0154,1.407073
0.0155,1.407073
0.0156,1.408684
0.0157,1.406107
0.0158,1.406107
0.0159,1.406107
0.016,1.407396
0.0161,1.405785
0.0162,1.406751
0.0163,1.407396
0.0164,1.407718
0.0165,1.405463
0.0166,1.407073
0.0167,1.406107
0.0168,1.406107
0.0169,1.402564
0.017,1.403853
0.0171,1.405141
0.0172,1.404819
0.0173,1.40353
0.0174,1.404175
0.0175,1.402886
0.0176,1.404175
0.0177,1.40353
0.0178,1.40353
0.0179,1.406751
0.018,1.406107
0.0181,1.406107
0.0182,1.404175
0.0183,1.404175
0.0184,1.405141
0.0185,1.406107
0.0186,1.402564
0.0187,1.404175
0.0188,1.404497
0.0189,1.40353
0.019,1.402564
0.0191,1.405463
0.0192,1.40353
0.0193,1.40353
0.0194,1.404497
0.0195,1.402564
0.0196,1.403853
0.0197,1.402886
0.0198,1.401598
0.0199,1.400954
0.02,1.406107
0.0201,1.403208
0.0202,1.400954
0.0203,1.404819
0.0204,1.399987
0.0205,1.403208
0.0206,1.403208
0.0207,1.404175
0.0208,1.403208
0.0209,1.400632
0.021,1.401276
0.0211,1.400954
0.0212,1.400309
0.0213,1.396444
0.0214,1.397733
0.0215,1.396766
0.0216,1.398377
0.0217,1.397733
0.0218,1.396444
0.0219,1.395478
0.022,1.396122
0.0221,1.396444
0.0222,1.397089
0.0223,1.397733
0.0224,1.398377
0.0225,1.396766
0.0226,1.397089
0.0227,1.396766
0.0228,1.396122
0.0229,1.393868
0.023,1.395156
0.0231,1.393223
0.0232,1.393545
0.0233,1.393545
0.0234,1.392579
0.0235,1.393868
0.0236,1.391935
0.0237,1.39419
0.0238,1.392257
0.0239,1.390647
0.024,1.38968
0.0241,1.387748
0.0242,1.389036
0.0243,1.390002
0.0244,1.390647
0.0245,1.390002
0.0246,1.388714
0.0247,1.390325
0.0248,1.38807
0.0249,1.388392
0.025,1.388392
0.0251,1.390002
0.0252,1.390325
0.0253,1.38968
0.0254,1.390647
0.0255,1.390325
0.0256,1.391935
0.0257,1.392257
0.0258,1.395156
0.0259,1.392579
0.026,1.390647
0.0261,1.393223
0.0262,1.393223
0.0263,1.392901
0.0264,1.395156
0.0265,1.396444
0.0266,1.398377
0.0267,1.396122
0.0268,1.3958
0.0269,1.397733
0.027,1.397411
0.0271,1.397733
0.0272,1.399343
0.0273,1.399665
0.0274,1.400632
0.0275,1.399343
0.0276,1.400954
0.0277,1.400632
0.0278,1.40353
0.0279,1.399987
0.028,1.402242
0.0281,1.402886
0.0282,1.399665
0.0283,1.40192
0.0284,1.403853
0.0285,1.406107
0.0286,1.404819
0.0287,1.401598
0.0288,1.404175
0.0289,1.406107
0.029,1.404497
0.0291,1.405141
0.0292,1.408684
0.0293,1.40804
0.0294,1.407073
0.0295,1.408362
0.0296,1.40804
0.0297,1.413515
0.0298,1.411261
0.0299,1.410939
0.03,1.412227
0.0301,1.413837
0.0302,1.412549
0.0303,1.412549
0.0304,1.413837
0.0305,1.41416
0.0306,1.413515
0.0307,1.409328
0.0308,1.415126
0.0309,1.414804
0.031,1.411583
0.0311,1.415126
0.0312,1.412227
0.0313,1.412227
0.0314,1.410616
0.0315,1.412227
0.0316,1.412227
0.0317,1.412871
0.0318,1.412549
0.0319,1.412227
0.032,1.410294
0.0321,1.410616
0.0322,1.411583
0.0323,1.40965
0.0324,1.411905
0.0325,1.410939
0.0326,1.411905
0.0327,1.40965
0.0328,1.411583
0.0329,1.40965
0.033,1.410294
0.0331,1.410939
0.0332,1.409972
0.0333,1.408684
0.0334,1.408362
0.0335,1.408362
0.0336,1.406429
0.0337,1.40965
0.0338,1.414482
0.0339,1.407396
0.034,1.409328
0.0341,1.411583
0.0342,1.40965
0.0343,1.406751
0.0344,1.407396
0.0345,1.409328
0.0346,1.407073
0.0347,1.40804
0.0348,1.406751
0.0349,1.410939
0.035,1.408684
0.0351,1.407718
0.0352,1.407396
0.0353,1.404819
0.0354,1.409328
0.0355,1.406751
0.0356,1.405463
0.0357,1.405463
0.0358,1.405141
0.0359,1.405463
0.036,1.405785
0.0361,1.405463
0.0362,1.40353
0.0363,1.406107
0.0364,1.404497
0.0365,1.402886
0.0366,1.404175
0.0367,1.40965
0.0368,1.404175
0.0369,1.405463
0.037,1.404175
0.0371,1.399343
0.0372,1.396444
0.0373,1.397089
0.0374,1.397411
0.0375,1.397411
0.0376,1.397411
0.0377,1.399987
0.0378,1.398055
0.0379,1.3958
0.038,1.397089
0.0381,1.395156
0.0382,1.394834
0.0383,1.397411
0.0384,1.3958
0.0385,1.397411
0.0386,1.398377
0.0387,1.393868
0.0388,1.396122
0.0389,1.397089
0.039,1.395478
0.0391,1.396444
0.0392,1.392901
0.0393,1.396122
0.0394,1.39419
0.0395,1.39419
0.0396,1.39419
0.0397,1.395156
0.0398,1.396766
0.0399,1.396122
0.04,1.39419
0.0401,1.392901
0.0402,1.396122
0.0403,1.3958
0.0404,1.392579
0.0405,1.395478
0.0406,1.390325
0.0407,1.39419
0.0408,1.391935
0.0409,1.390969
0.041,1.391291
0.0411,1.391613
0.0412,1.39419
0.0413,1.392257
0.0414,1.393868
0.0415,1.393545
0.0416,1.391935
0.0417,1.396444
0.0418,1.393868
0.0419,1.393868
0.042,1.391613
0.0421,1.392257
0.0422,1.391935
0.0423,1.392901
0.0424,1.391291
0.0425,1.39419
0.0426,1.39419
0.0427,1.392901
0.0428,1.395156
0.0429,1.399665
0.043,1.396122
0.0431,1.393868
0.0432,1.397089
0.0433,1.397733
0.0434,1.399343
0.0435,1.397733
0.0436,1.397089
0.0437,1.399665
0.0438,1.398377
0.0439,1.400309
0.044,1.394834
0.0441,1.398699
0.0442,1.399343
0.0443,1.400309
0.0444,1.398699
0.0445,1.400309
0.0446,1.401276
0.0447,1.402242
0.0448,1.401276
0.0449,1.400954
0.045,1.399665
0.0451,1.400954
0.0452,1.399987
0.0453,1.398377
0.0454,1.401598
0.0455,1.401598
0.0456,1.403208
0.0457,1.405141
0.0458,1.403853
0.0459,1.402886
0.046,1.406429
0.0461,1.400954
0.0462,1.404175
0.0463,1.408684
0.0464,1.405785
0.0465,1.40804
0.0466,1.409328
0.0467,1.405463
0.0468,1.408684
0.0469,1.406751
0.047,1.405785
0.0471,1.408684
0.0472,1.40965
0.0473,1.407073
0.0474,1.406751
0.0475,1.407718
0.0476,1.407718
0.0477,1.410294
0.0478,1.411261
0.0479,1.408684
0.048,1.409006
0.0481,1.410294
0.0482,1.410616
0.0483,1.412871
0.0484,1.408362
0.0485,1.40965
0.0486,1.409972
0.0487,1.408684
0.0488,1.411583
0.0489,1.40965
0.049,1.40965
0.0491,1.410294
0.0492,1.410616
0.0493,1.409328
0.0494,1.408684
0.0495,1.405785
0.0496,1.410294
0.0497,1.40965
0.0498,1.40804
0.0499,1.406751
0.05,1.40804
0.0501,1.409006
0.0502,1.403208
0.0503,1.409006
0.0504,1.407073
0.0505,1.406429
0.0506,1.403853
0.0507,1.406429
0.0508,1.406107
0.0509,1.405141
0.051,1.402886
0.0511,1.402242
0.0512,1.407718
0.0513,1.408362
0.0514,1.405785
0.0515,1.404497
0.0516,1.403853
0.0517,1.40353
0.0518,1.403853
0.0519,1.404175
0.052,1.403853
0.0521,1.399343
0.0522,1.399343
0.0523,1.402564
0.0524,1.400632
0.0525,1.400954
0.0526,1.401598
0.0527,1.401598
0.0528,1.399987
0.0529,1.402242
0.053,1.401598
0.0531,1.398055
0.0532,1.401276
0.0533,1.400954
0.0534,1.401276
0.0535,1.399665
0.0536,1.399665
0.0537,1.400309
0.0538,1.396122
0.0539,1.400309
0.054,1.399021
0.0541,1.398699
0.0542,1.399021
0.0543,1.3958
0.0544,1.398055
0.0545,1.396444
0.0546,1.397733
0.0547,1.396444
0.0548,1.397089
0.0549,1.392257
0.055,1.396444
0.0551,1.393868
0.0552,1.396122
0.0553,1.395156
0.0554,1.389358
0.0555,1.390647
0.0556,1.392257
0.0557,1.392257
0.0558,1.391291
0.0559,1.394512
0.056,1.391291
0.0561,1.392579
0.0562,1.393223
0.0563,1.391291
0.0564,1.390969
0.0565,1.389358
0.0566,1.392257
0.0567,1.391291
0.0568,1.392257
0.0569,1.390647
0.057,1.392901
0.0571,1.390647
0.0572,1.388714
0.0573,1.386137
0.0574,1.388714
0.0575,1.387104
0.0576,1.390002
0.0577,1.385493
0.0578,1.38807
0.0579,1.385815
0.058,1.388714
0.0581,1.387426
0.0582,1.387104
0.0583,1.386459
0.0584,1.386459
0.0585,1.389036
0.0586,1.388392
0.0587,1.387748
0.0588,1.387426
0.0589,1.387748
0.059,1.388714
0.0591,1.388392
0.0592,1.385815
0.0593,1.384849
0.0594,1.386459
0.0595,1.389036
0.0596,1.390647
0.0597,1.390969
0.0598,1.389358
0.0599,1.390002
0.06,1.388714
0.0601,1.391935
0.0602,1.393223
0.0603,1.393545
0.0604,1.391613
0.0605,1.392901
0.0606,1.39419
0.0607,1.392901
0.0608,1.393545
0.0609,1.391935
0.061,1.396444
0.0611,1.394834
0.0612,1.394834
0.0613,1.397733
0.0614,1.395478
0.0615,1.397411
0.0616,1.396122
0.0617,1.397733
0.0618,1.398377
0.0619,1.399343
0.062,1.399021
0.0621,1.400632
0.0622,1.397411
0.0623,1.399987
0.0624,1.402886
0.0625,1.399343
0.0626,1.402886
0.0627,1.402564
0.0628,1.400632
0.0629,1.403208
0.063,1.402242
0.0631,1.404819
0.0632,1.404819
0.0633,1.405463
0.0634,1.406751
0.0635,1.405141
0.0636,1.405785
0.0637,1.408362
0.0638,1.406751
0.0639,1.407718
0.064,1.406107
0.0641,1.407073
0.0642,1.407073
0.0643,1.409006
0.0644,1.411261
0.0645,1.411905
0.0646,1.408362
0.0647,1.406751
0.0648,1.408684
0.0649,1.407073
0.065,1.409328
0.0651,1.407718
0.0652,1.409006
0.0653,1.40804
0.0654,1.40804
0.0655,1.40965
0.0656,1.411905
0.0657,1.40804
0.0658,1.408684
0.0659,1.40965
0.066,1.40965
0.0661,1.410939
0.0662,1.409328
0.0663,1.405141
0.0664,1.410294
0.0665,1.410294
0.0666,1.410939
0.0667,1.409006
0.0668,1.40804
