Time (s),EMG Voltage (V)
0,1.458286
0.0001,1.450878
0.0002,1.442182
0.0003,1.433485
0.0004,1.425755
0.0005,1.413837
0.0006,1.403208
0.0007,1.40192
0.0008,1.396122
0.0009,1.392901
0.001,1.393545
0.0011,1.397411
0.0012,1.401598
0.0013,1.405463
0.0014,1.413193
0.0015,1.417058
0.0016,1.426077
0.0017,1.430908
0.0018,1.436706
0.0019,1.437995
0.002,1.441538
0.0021,1.436384
0.0022,1.433485
0.0023,1.427043
0.0024,1.42189
0.0025,1.410616
0.0026,1.401598
0.0027,1.390969
0.0028,1.382272
0.0029,1.375186
0.003,1.370033
0.0031,1.363269
0.0032,1.359403
0.0033,1.355538
0.0034,1.347808
0.0035,1.342332
0.0036,1.33428
0.0037,1.328805
0.0038,1.327838
0.0039,1.326228
0.004,1.322685
0.0041,1.327838
0.0042,1.32655
0.0043,1.328805
0.0044,1.335568
0.0045,1.341366
0.0046,1.348452
0.0047,1.358115
0.0048,1.36649
0.0049,1.374542
0.005,1.380662
0.0051,1.389358
0.0052,1.396444
0.0053,1.407396
0.0054,1.418347
0.0055,1.425755
0.0056,1.440571
0.0057,1.454743
0.0058,1.467305
0.0059,1.479867
0.006,1.495649
0.0061,1.506601
0.0062,1.516908
0.0063,1.527859
0.0064,1.540421
0.0065,1.545896
0.0066,1.557492
0.0067,1.563289
0.0068,1.567799
0.0069,1.57424
0.007,1.574563
0.0071,1.574563
0.0072,1.573596
0.0073,1.566832
0.0074,1.564256
0.0075,1.554271
0.0076,1.54654
0.0077,1.536878
0.0078,1.518518
0.0079,1.506279
0.008,1.48502
0.0081,1.474713
0.0082,1.454743
0.0083,1.438317
0.0084,1.4235
0.0085,1.402886
0.0086,1.390325
0.0087,1.376797
0.0088,1.361658
0.0089,1.352639
0.009,1.344909
0.0091,1.339434
0.0092,1.330737
0.0093,1.327838
0.0094,1.324617
0.0095,1.317531
0.0096,1.312378
0.0097,1.313988
0.0098,1.316887
0.0099,1.321074
0.01,1.329127
0.0101,1.333314
0.0102,1.334602
0.0103,1.339434
0.0104,1.338789
0.0105,1.337179
0.0106,1.338467
0.0107,1.336535
0.0108,1.333958
0.0109,1.331381
0.011,1.323651
0.0111,1.320108
0.0112,1.32043
0.0113,1.313022
0.0114,1.314954
0.0115,1.307868
0.0116,1.311089
0.0117,1.305292
0.0118,1.303681
0.0119,1.299816
0.012,1.295951
0.0121,1.289831
0.0122,1.283067
0.0123,1.279202
0.0124,1.274693
0.0125,1.272438
0.0126,1.272438
0.0127,1.276625
0.0128,1.283067
0.0129,1.290797
0.013,1.297561
0.0131,1.311089
0.0132,1.32655
0.0133,1.343943
0.0134,1.3681
0.0135,1.386459
0.0136,1.406429
0.0137,1.427365
0.0138,1.444759
0.0139,1.467305
0.014,1.479867
0.0141,1.497582
0.0142,1.508211
0.0143,1.52335
0.0144,1.530758
0.0145,1.544286
0.0146,1.554915
0.0147,1.563611
0.0148,1.579716
0.0149,1.585836
0.015,1.597431
0.0151,1.608383
0.0152,1.62642
0.0153,1.636405
0.0154,1.647356
0.0155,1.662816
0.0156,1.672157
0.0157,1.684397
0.0158,1.689872
0.0159,1.700502
0.016,1.700179
0.0161,1.697281
0.0162,1.68794
0.0163,1.676667
0.0164,1.659918
0.0165,1.638981
0.0166,1.617079
0.0167,1.589379
0.0168,1.565544
0.0169,1.540743
0.017,1.514975
0.0171,1.495972
0.0172,1.47117
0.0173,1.450878
0.0174,1.424467
0.0175,1.401276
0.0176,1.381628
0.0177,1.358115
0.0178,1.336213
0.0179,1.312378
0.018,1.297239
0.0181,1.277914
0.0182,1.268251
0.0183,1.257944
0.0184,1.250858
0.0185,1.248603
