Time (s),EMG Voltage (V)
0,1.559889
0.0005,1.651342
0.001,1.71317
0.0015,1.782404
0.002,1.85679
0.0025,1.897042
0.003,1.936972
0.0035,1.961124
0.004,1.994936
0.0045,1.987851
0.005,1.987529
0.0055,2.016833
0.006,2.03873
0.0065,2.054187
0.007,2.059983
0.0075,2.035188
0.008,1.956616
0.0085,1.758252
0.009,1.480672
0.0095,1.207923
0.01,1.026304
0.0105,0.927445
0.011,0.872379
0.0115,0.879142
0.012,0.924546
0.0125,0.949986
0.013,0.991204
0.0135,1.042405
0.014,1.075251
0.0145,1.091996
0.015,1.098114
0.0155,1.122588
0.016,1.191822
0.0165,1.278767
0.017,1.339306
0.0175,1.437844
0.018,1.491299
0.0185,1.536059
0.019,1.60787
0.0195,1.694493
0.02,1.670341
0.0205,1.659715
0.021,1.636529
0.0215,1.598853
0.022,1.518348
0.0225,1.424963
0.023,1.319985
0.0235,1.219193
0.024,1.141909
0.0245,1.083624
0.025,0.998933
0.0255,0.896531
0.026,0.846618
0.0265,0.852414
0.027,0.845008
0.0275,0.863363
0.028,0.956426
0.0285,1.117435
0.029,1.289393
0.0295,1.468114
0.03,1.644902
0.0305,1.821046
0.031,1.948243
0.0315,2.012325
0.032,2.039374
0.0325,2.034866
0.033,2.001054
0.0335,1.959836
0.034,1.882551
0.0345,1.739575
0.035,1.543466
0.0355,1.341882
0.036,1.168636
0.0365,1.067845
0.037,1.044659
0.0375,1.047235
0.038,0.959002
0.0385,0.92519
0.039,0.921648
0.0395,0.865295
0.04,0.780926
0.0405,0.777384
0.041,0.804433
0.0415,0.88848
0.042,0.980256
0.0425,1.010525
0.043,0.983798
0.0435,0.951274
0.044,0.948376
0.0445,0.953528
0.045,0.962223
0.0455,0.996034
0.046,1.053998
0.0465,1.12774
0.047,1.235616
0.0475,1.322239
0.048,1.373118
0.0485,1.407574
0.049,1.428183
0.0495,1.458131
0.05,1.536059
0.0505,1.639105
0.051,1.749236
0.0515,1.847129
0.052,1.980767
0.0525,2.072542
0.053,2.063848
0.0535,1.977225
0.054,1.859044
0.0545,1.726694
0.055,1.625259
0.0555,1.549906
0.056,1.507722
0.0565,1.514806
0.057,1.603683
0.0575,1.657782
0.058,1.637495
0.0585,1.563431
0.059,1.494197
0.0595,1.380525
0.06,1.335764
0.0605,1.345747
0.061,1.351221
0.0615,1.334476
0.062,1.282631
0.0625,1.23787
0.063,1.158654
0.0635,1.046913
0.064,0.937749
0.0645,0.862719
0.065,0.822466
0.0655,0.824721
0.066,0.854346
0.0665,0.908767
0.067,0.973815
0.0675,1.075573
0.068,1.219193
0.0685,1.379881
0.069,1.575668
0.0695,1.762116
0.07,1.931498
0.0705,2.050645
0.071,2.106032
0.0715,2.113439
0.072,2.076084
0.0725,2.064814
0.073,2.040662
0.0735,1.961124
0.074,1.843587
0.0745,1.720576
0.075,1.58887
0.0755,1.443318
0.076,1.319019
0.0765,1.2266
0.077,1.265242
0.0775,1.304528
0.078,1.392117
0.0785,1.552804
0.079,1.715102
0.0795,1.785302
0.08,1.85518
0.0805,1.875145
0.081,1.827808
0.0815,1.737643
0.082,1.601751
0.0825,1.43237
0.083,1.233684
0.0835,1.024372
0.084,0.838567
0.0845,0.64117
0.085,0.431214
0.0855,0.208055
0.086,0.059926
0.0865,0.019352
0.087,0.098569
0.0875,0.270849
0.088,0.477585
0.0885,0.693659
0.089,0.906191
0.0895,1.115825
0.09,1.319341
0.0905,1.48035
0.091,1.587582
0.0915,1.639427
0.092,1.632665
0.0925,1.598209
0.093,1.520603
0.0935,1.419811
0.094,1.380525
0.0945,1.400812
0.095,1.438166
0.0955,1.44847
0.096,1.415303
0.0965,1.358627
0.097,1.303562
0.0975,1.245277
0.098,1.243989
0.0985,1.30646
0.099,1.346069
0.0995,1.398558
0.1,1.439776
0.1005,1.429793
0.101,1.420133
0.1015,1.431403
0.102,1.409506
0.1025,1.33995
0.103,1.237226
0.1035,1.124198
0.104,1.040473
0.1045,1.029202
0.105,1.088454
0.1055,1.161552
0.106,1.232074
0.1065,1.315155
0.107,1.363458
0.1075,1.404676
0.108,1.443962
0.1085,1.472944
0.109,1.532517
0.1095,1.61753
0.11,1.709949
0.1105,1.743439
0.111,1.709627
0.1115,1.688374
0.112,1.671307
0.1125,1.668731
0.113,1.651986
0.1135,1.637495
0.114,1.642648
0.1145,1.626225
0.115,1.598531
0.1155,1.545076
0.116,1.418845
0.1165,1.336086
0.117,1.29358
0.1175,1.309036
0.118,1.372474
0.1185,1.472622
0.119,1.470368
0.1195,1.543466
0.12,1.697713
0.1205,1.872569
0.121,2.028104
0.1215,2.126641
0.122,2.118591
0.1225,2.040984
0.123,1.909279
0.1235,1.729271
0.124,1.50579
0.1245,1.282631
0.125,1.087166
0.1255,0.940969
0.126,0.854346
0.1265,0.786722
0.127,0.662101
0.1275,0.571292
0.128,0.603494
0.1285,0.727793
0.129,0.969307
0.1295,1.289393
0.13,1.568261
0.1305,1.770811
0.131,1.884161
0.1315,1.916363
0.132,1.860332
0.1325,1.758896
0.133,1.626547
0.1335,1.486791
0.134,1.33673
0.1345,1.181839
0.135,1.034355
0.1355,0.894921
0.136,0.781892
0.1365,0.693659
0.137,0.594799
0.1375,0.52943
0.138,0.515261
0.1385,0.560665
0.139,0.619595
0.1395,0.684321
0.14,0.758063
0.1405,0.863685
0.141,1.034355
0.1415,1.219193
0.142,1.379236
0.1425,1.551194
0.143,1.727016
0.1435,1.895754
0.144,2.035188
0.1445,2.13115
0.145,2.16625
0.1455,2.123099
0.146,1.989139
0.1465,1.803657
0.147,1.60787
0.1475,1.423997
0.148,1.228532
0.1485,1.061404
0.149,0.967375
0.1495,0.942257
0.15,0.924868
0.1505,0.893955
0.151,0.849516
0.1515,0.809908
0.152,0.795739
0.1525,0.84372
0.153,0.956426
0.1535,1.107131
0.154,1.240447
0.1545,1.354441
0.155,1.459419
0.1555,1.523501
0.156,1.605615
0.1565,1.594345
0.157,1.545398
0.1575,1.564075
0.158,1.536703
0.1585,1.490977
0.159,1.449436
0.1595,1.4021
0.16,1.347679
0.1605,1.308714
0.161,1.296478
0.1615,1.307748
0.162,1.29841
0.1625,1.247209
0.163,1.187958
0.1635,1.148671
0.164,1.122588
0.1645,1.105521
0.165,1.12935
0.1655,1.209211
0.166,1.312579
0.1665,1.39727
0.167,1.456843
0.1675,1.464893
0.168,1.452013
0.1685,1.444284
0.169,1.444606
0.1695,1.482604
0.17,1.549262
0.1705,1.593701
0.171,1.598853
0.1715,1.573414
0.172,1.571159
0.1725,1.594345
0.173,1.608192
0.1735,1.625259
0.174,1.687086
0.1745,1.708661
0.175,1.692238
0.1755,1.642004
0.176,1.628801
0.1765,1.586294
0.177,1.612378
0.1775,1.717678
0.178,1.858078
0.1785,2.081237
0.179,2.318564
0.1795,2.490522
0.18,2.584874
0.1805,2.581975
0.181,2.502759
0.1815,2.304073
0.182,2.024883
0.1825,1.754066
0.183,1.53767
0.1835,1.383101
0.184,1.26814
0.1845,1.11969
0.185,0.959968
0.1855,0.807976
0.186,0.656949
0.1865,0.57258
0.187,0.587715
0.1875,0.64439
0.188,0.739064
0.1885,0.873667
0.189,1.018576
0.1895,1.138367
0.19,1.217905
0.1905,1.247853
0.191,1.266852
0.1915,1.26975
0.192,1.230464
0.1925,1.171535
0.193,1.113249
0.1935,1.026626
0.194,0.92358
0.1945,0.779316
0.195,0.655339
0.1955,0.620883
0.196,0.625391
0.1965,0.653729
0.197,0.717166
0.1975,0.767723
0.198,0.81023
0.1985,0.852736
0.199,0.911022
0.1995,1.000543
0.2,1.117757
0.2005,1.212753
0.201,1.308392
0.2015,1.395659
0.202,1.462639
0.2025,1.495807
0.203,1.51062
0.2035,1.502892
0.204,1.48357
0.2045,1.44364
0.205,1.431081
0.2055,1.416913
0.206,1.431081
0.2065,1.454589
0.207,1.468114
0.2075,1.465859
0.208,1.443962
0.2085,1.378914
0.209,1.362492
0.2095,1.384067
0.21,1.385355
0.2105,1.383423
0.211,1.360881
0.2115,1.312579
0.212,1.296478
0.2125,1.317087
0.213,1.362814
0.2135,1.41015
