Time (s),EMG Voltage (V)
0,1.486469
0.0005,1.44525
0.001,1.387931
0.0015,1.281665
0.002,1.212753
0.0025,1.122588
0.003,1.067523
0.0035,1.024372
0.004,1.053998
0.0045,1.219193
0.005,1.395337
0.0055,1.674205
0.006,1.979801
0.0065,2.108608
0.007,2.072864
0.0075,1.969496
0.008,1.826198
0.0085,1.674205
0.009,1.591447
0.0095,1.595633
0.01,1.618496
0.0105,1.586938
0.011,1.538636
0.0115,1.558279
0.012,1.616886
0.0125,1.565685
0.013,1.419167
0.0135,1.354441
0.014,1.29519
0.0145,1.22499
0.015,1.185059
0.0155,1.227566
0.016,1.205669
0.0165,1.170891
0.017,1.248175
0.0175,1.386965
0.018,1.501603
0.0185,1.537992
0.019,1.512552
0.0195,1.414336
0.02,1.280377
0.0205,1.09103
0.021,0.890734
0.0215,0.780604
0.022,0.804433
0.0225,0.9268
0.023,0.996679
0.0235,0.965121
0.024,0.943867
0.0245,0.973171
0.025,0.970917
0.0255,1.037575
0.026,1.074285
0.0265,1.111639
0.027,1.150603
0.0275,1.218871
0.028,1.27136
0.0285,1.179585
0.029,1.031134
0.0295,0.940969
0.03,1.031134
0.0305,1.170891
0.031,1.312257
0.0315,1.482926
0.032,1.731203
0.0325,2.010071
0.033,2.265753
0.0335,2.41839
0.034,2.436423
0.0345,2.453168
0.035,2.334665
0.0355,2.075118
0.036,1.783692
0.0365,1.5425
0.037,1.398558
0.0375,1.334476
0.038,1.350899
0.0385,1.465215
0.039,1.636207
0.0395,1.758896
0.04,1.733457
0.0405,1.650054
0.041,1.566651
0.0415,1.538958
0.042,1.406608
0.0425,1.125808
0.043,0.834703
0.0435,0.761283
0.044,0.852092
0.0445,1.082013
0.045,1.291325
0.0455,1.466181
0.046,1.555703
0.0465,1.439132
0.047,1.107775
0.0475,0.84372
0.048,0.700743
0.0485,0.724895
0.049,0.925834
0.0495,1.108419
0.05,1.172179
0.0505,1.140943
0.051,1.134824
0.0515,1.159942
0.052,1.177653
0.0525,1.107775
0.053,0.959646
0.0535,0.77996
0.054,0.642136
0.0545,0.578376
0.055,0.555191
0.0555,0.605748
0.056,0.697845
0.0565,0.841144
0.057,1.048523
0.0575,1.261378
0.058,1.445894
0.0585,1.567617
0.059,1.663257
0.0595,1.706729
0.06,1.688374
0.0605,1.578566
0.061,1.409828
0.0615,1.294546
0.062,1.256547
0.0625,1.196974
0.063,1.142231
0.0635,1.241413
0.064,1.392439
0.0645,1.43237
0.065,1.509976
0.0655,1.661647
0.066,1.783692
0.0665,1.867094
0.067,1.960802
0.0675,2.018121
0.068,2.053543
0.0685,2.00846
0.069,1.878687
0.0695,1.675815
0.07,1.421421
0.0705,1.113571
0.071,0.811518
0.0715,0.524277
0.072,0.264086
0.0725,0.235104
0.073,0.418011
0.0735,0.675626
0.074,1.013101
0.0745,1.407896
0.075,1.912821
0.0755,2.239992
0.076,2.3147
0.0765,2.197807
0.077,2.06256
0.0775,2.039052
0.078,1.976259
0.0785,1.873857
0.079,1.712848
0.0795,1.511586
0.08,1.308714
0.0805,1.202126
0.081,1.150281
0.0815,1.09586
0.082,1.068167
0.0825,1.01761
