Time (s),EMG Voltage (V)
0,1.451047
0.0005,1.493875
0.001,1.509654
0.0015,1.519314
0.002,1.533483
0.0025,1.530907
0.003,1.517382
0.0035,1.520281
0.004,1.538636
0.0045,1.554092
0.005,1.546042
0.0055,1.543788
0.006,1.55216
0.0065,1.55055
0.007,1.541212
0.0075,1.522213
0.008,1.528009
0.0085,1.526077
0.009,1.514484
0.0095,1.511586
0.01,1.488401
0.0105,1.403066
0.011,1.349611
0.0115,1.3319
0.012,1.316765
0.0125,1.305494
0.013,1.30163
0.0135,1.300342
0.014,1.300986
0.0145,1.310647
0.015,1.324815
0.0155,1.342526
0.016,1.353797
0.0165,1.358305
0.017,1.360559
0.0175,1.353797
0.018,1.344136
0.0185,1.335764
0.019,1.352831
0.0195,1.41337
0.02,1.424641
0.0205,1.429793
0.021,1.429793
0.0215,1.422709
0.022,1.420133
0.0225,1.416913
0.023,1.417557
0.0235,1.412082
0.024,1.4021
0.0245,1.400812
0.025,1.402744
0.0255,1.399524
0.026,1.402744
0.0265,1.399846
0.027,1.404354
0.0275,1.400168
0.028,1.39888
0.0285,1.404032
0.029,1.418845
0.0295,1.432047
0.03,1.440098
0.0305,1.372152
0.031,1.364746
0.0315,1.362492
0.032,1.369254
0.0325,1.371508
0.033,1.382457
0.0335,1.403388
0.034,1.419167
0.0345,1.434946
0.035,1.442996
0.0355,1.473266
0.036,1.500315
0.0365,1.520925
0.037,1.511586
0.0375,1.497739
0.038,1.491943
0.0385,1.47391
0.039,1.522857
0.0395,1.553448
0.04,1.554415
0.0405,1.534771
0.041,1.499349
0.0415,1.462639
0.042,1.440742
0.0425,1.434946
0.043,1.436234
0.0435,1.434624
0.044,1.416913
0.0445,1.424319
0.045,1.433014
0.0455,1.452013
0.046,1.453301
0.0465,1.457487
0.047,1.461673
0.0475,1.46908
0.048,1.464249
0.0485,1.454589
0.049,1.44525
0.0495,1.43881
0.05,1.394693
0.0505,1.315477
0.051,1.292614
0.0515,1.275547
0.052,1.273936
0.0525,1.276835
0.053,1.282953
0.0535,1.286495
0.054,1.286495
0.0545,1.27136
0.055,1.252683
0.0555,1.243345
0.056,1.238192
0.0565,1.239158
0.057,1.262344
0.0575,1.292291
0.058,1.317087
0.0585,1.348323
0.059,1.445572
0.0595,1.5074
0.06,1.545076
0.0605,1.566973
0.061,1.585006
0.0615,1.594989
0.062,1.611734
0.0625,1.597565
0.063,1.583074
0.0635,1.558923
0.064,1.525111
0.0645,1.506434
0.065,1.476486
0.0655,1.455877
0.066,1.43237
0.0665,1.399846
0.067,1.383745
0.0675,1.372796
0.068,1.348001
0.0685,1.337052
0.069,1.332222
0.0695,1.335442
0.07,1.349933
0.0705,1.361203
0.071,1.385999
0.0715,1.405642
0.072,1.380525
0.0725,1.334798
0.073,1.325459
0.0735,1.328036
0.074,1.332544
0.0745,1.347035
0.075,1.359593
0.0755,1.368288
0.076,1.373118
0.0765,1.381491
0.077,1.382135
0.0775,1.393083
0.078,1.391473
0.0785,1.429793
0.079,1.498061
0.0795,1.523179
0.08,1.528009
0.0805,1.523179
0.081,1.518026
0.0815,1.513518
0.082,1.497739
0.0825,1.479062
0.083,1.46747
0.0835,1.459419
0.084,1.453623
0.0845,1.460385
0.085,1.462639
0.0855,1.467792
0.086,1.471012
0.0865,1.488723
0.087,1.514806
0.0875,1.537992
0.088,1.54894
0.0885,1.546686
0.089,1.541856
0.0895,1.529619
0.09,1.507722
0.0905,1.48035
0.091,1.463605
0.0915,1.457809
0.092,1.399846
0.0925,1.361525
0.093,1.331578
0.0935,1.312579
0.094,1.294224
0.0945,1.299054
0.095,1.318375
0.0955,1.344458
0.096,1.362814
0.0965,1.393083
0.097,1.408862
0.0975,1.423675
0.098,1.437844
0.0985,1.505146
0.099,1.542822
0.0995,1.543144
0.1,1.519959
0.1005,1.508688
0.101,1.502892
0.1015,1.496773
0.102,1.489045
0.1025,1.484214
0.103,1.493875
0.1035,1.505146
0.104,1.509332
0.1045,1.523179
0.105,1.530907
0.1055,1.538958
0.106,1.543788
0.1065,1.549584
0.107,1.555703
0.1075,1.558601
0.108,1.551194
0.1085,1.554415
0.109,1.561177
0.1095,1.565685
0.11,1.573414
0.1105,1.574058
0.111,1.571159
0.1115,1.558923
0.112,1.459419
0.1125,1.405964
0.113,1.381813
0.1135,1.353797
0.114,1.332222
0.1145,1.335442
0.115,1.342204
0.1155,1.349611
0.116,1.358627
0.1165,1.365068
0.117,1.369898
0.1175,1.375372
0.118,1.381491
0.1185,1.468114
0.119,1.519314
0.1195,1.538958
0.12,1.542822
0.1205,1.53767
0.121,1.520281
0.1215,1.499671
0.122,1.492587
0.1225,1.480672
0.123,1.494841
0.1235,1.508044
0.124,1.524789
0.1245,1.522857
0.125,1.51062
0.1255,1.505146
0.126,1.491299
0.1265,1.47713
0.127,1.466181
0.1275,1.458131
0.128,1.466181
0.1285,1.492909
0.129,1.51384
0.1295,1.528975
0.13,1.521247
0.1305,1.512874
0.131,1.507722
0.1315,1.463605
0.132,1.395981
0.1325,1.354119
0.133,1.326747
0.1335,1.318053
0.134,1.311613
0.1345,1.291325
0.135,1.285851
0.1355,1.281021
0.136,1.290037
0.1365,1.290037
0.137,1.296478
0.1375,1.29519
0.138,1.33029
0.1385,1.385355
0.139,1.392117
0.1395,1.383423
0.14,1.360237
0.1405,1.329968
0.141,1.304528
0.1415,1.29358
0.142,1.297444
0.1425,1.315155
0.143,1.348967
0.1435,1.388253
0.144,1.418523
0.1445,1.442674
0.145,1.456843
0.1455,1.474876
0.146,1.484214
0.1465,1.48196
0.147,1.48357
0.1475,1.48035
0.148,1.472622
0.1485,1.461351
0.149,1.450725
0.1495,1.4372
0.15,1.429793
0.1505,1.426895
0.151,1.43237
0.1515,1.377948
0.152,1.346069
0.1525,1.347679
0.153,1.353797
0.1535,1.354441
0.154,1.349289
0.1545,1.34156
0.155,1.336086
0.1555,1.331256
0.156,1.317731
0.1565,1.307748
0.157,1.30324
0.1575,1.296478
0.158,1.36539
0.1585,1.407252
0.159,1.424641
0.1595,1.43398
0.16,1.44847
0.1605,1.458775
0.161,1.47069
0.1615,1.480672
0.162,1.491299
0.1625,1.495485
0.163,1.488401
0.1635,1.483892
0.164,1.467792
0.1645,1.454589
0.165,1.439132
0.1655,1.423031
0.166,1.40049
0.1665,1.385999
0.167,1.376338
0.1675,1.382457
0.168,1.402744
0.1685,1.413048
0.169,1.428505
0.1695,1.437522
0.17,1.4372
0.1705,1.43559
0.171,1.443962
0.1715,1.389541
0.172,1.386321
0.1725,1.39888
0.173,1.418845
0.1735,1.433014
0.174,1.443962
0.1745,1.476164
0.175,1.510942
0.1755,1.524145
0.176,1.526077
0.1765,1.516738
0.177,1.501603
0.1775,1.464249
0.178,1.485181
0.1785,1.468436
0.179,1.418523
0.1795,1.376982
0.18,1.349611
0.1805,1.331578
0.181,1.329968
0.1815,1.329646
0.182,1.348001
0.1825,1.373762
0.183,1.395015
0.1835,1.423353
0.184,1.447826
0.1845,1.467792
0.185,1.488723
0.1855,1.515772
0.186,1.537992
0.1865,1.543144
0.187,1.531551
0.1875,1.508688
0.188,1.470046
0.1885,1.432047
0.189,1.398236
0.1895,1.371508
0.19,1.354763
0.1905,1.340916
0.191,1.288749
0.1915,1.245277
0.192,1.243667
0.1925,1.25848
0.193,1.279411
0.1935,1.303562
0.194,1.33512
0.1945,1.358305
0.195,1.380203
0.1955,1.4021
0.196,1.410472
0.1965,1.424641
0.197,1.429471
0.1975,1.461995
0.198,1.51384
0.1985,1.535737
0.199,1.530585
0.1995,1.508044
0.2,1.473266
0.2005,1.446538
0.201,1.433014
0.2015,1.436234
0.202,1.44847
0.2025,1.456521
0.203,1.456843
0.2035,1.444606
0.204,1.441064
0.2045,1.44525
0.205,1.453301
0.2055,1.459419
0.206,1.459097
0.2065,1.466825
0.207,1.463927
0.2075,1.451691
0.208,1.444928
0.2085,1.443962
0.209,1.465537
0.2095,1.478418
0.21,1.493553
0.2105,1.498705
0.211,1.443962
0.2115,1.420133
0.212,1.425929
0.2125,1.426573
0.213,1.436234
0.2135,1.438488
0.214,1.449436
0.2145,1.446538
0.215,1.43398
0.2155,1.412082
0.216,1.390829
0.2165,1.356695
0.217,1.313545
0.2175,1.336086
0.218,1.344136
0.2185,1.358305
0.219,1.378914
0.2195,1.392439
0.22,1.404354
0.2205,1.407574
0.221,1.412082
0.2215,1.409506
0.222,1.401778
0.2225,1.395337
0.223,1.389863
0.2235,1.382457
0.224,1.375372
0.2245,1.374728
0.225,1.37344
0.2255,1.377626
0.226,1.379558
0.2265,1.389219
0.227,1.394693
0.2275,1.391151
0.228,1.402422
0.2285,1.414336
0.229,1.431725
0.2295,1.451047
0.23,1.464249
0.2305,1.475842
0.231,1.418523
0.2315,1.409184
0.232,1.41176
0.2325,1.415303
0.233,1.423031
0.2335,1.435912
0.234,1.442352
0.2345,1.449436
0.235,1.447182
0.2355,1.446538
0.236,1.438488
0.2365,1.433014
0.237,1.460063
0.2375,1.508044
0.238,1.53928
0.2385,1.54894
0.239,1.565363
0.2395,1.558279
0.24,1.526399
0.2405,1.468436
0.241,1.427217
0.2415,1.399524
0.242,1.390829
0.2425,1.383745
0.243,1.39727
0.2435,1.386321
0.244,1.384067
0.2445,1.390185
0.245,1.395659
0.2455,1.407252
0.246,1.426251
0.2465,1.433336
0.247,1.445894
0.2475,1.456199
0.248,1.465859
0.2485,1.472944
0.249,1.480028
0.2495,1.487435
0.25,1.492587
0.2505,1.452335
0.251,1.403066
0.2515,1.383745
0.252,1.373118
0.2525,1.359271
0.253,1.33995
0.2535,1.322239
0.254,1.303562
0.2545,1.301952
0.255,1.308392
0.2555,1.310969
0.256,1.314511
0.2565,1.310969
0.257,1.336086
0.2575,1.388253
0.258,1.410794
0.2585,1.427217
0.259,1.430759
0.2595,1.439776
0.26,1.455555
0.2605,1.473588
0.261,1.498705
0.2615,1.520925
0.262,1.557957
0.2625,1.587904
0.263,1.62236
0.2635,1.640071
0.264,1.647478
0.2645,1.681934
0.265,1.68612
0.2655,1.679036
0.266,1.648766
0.2665,1.602073
0.267,1.566973
0.2675,1.543466
0.268,1.519637
0.2685,1.489689
0.269,1.466181
0.2695,1.452657
0.27,1.451369
0.2705,1.376016
0.271,1.343492
0.2715,1.346713
0.272,1.354763
0.2725,1.357017
0.273,1.349933
0.2735,1.33834
0.274,1.325137
0.2745,1.306138
0.275,1.295834
0.2755,1.279411
0.276,1.273936
0.2765,1.274258
0.277,1.329646
0.2775,1.349933
0.278,1.353797
0.2785,1.352831
0.279,1.353153
0.2795,1.365068
0.28,1.362169
0.2805,1.357339
0.281,1.351543
0.2815,1.351221
0.282,1.361525
0.2825,1.374728
0.283,1.388253
0.2835,1.404676
0.284,1.422065
0.2845,1.439776
0.285,1.451691
0.2855,1.459097
0.286,1.47391
0.2865,1.496451
0.287,1.509332
0.2875,1.524145
0.288,1.530263
