Time (s),EMG Voltage (V)
0,1.613666
0.0005,1.68934
0.001,1.783048
0.0015,1.841977
0.002,1.860976
0.0025,1.860654
0.003,1.82652
0.0035,1.780471
0.004,1.730237
0.0045,1.669697
0.005,1.601429
0.0055,1.538636
0.006,1.478418
0.0065,1.414014
0.007,1.37666
0.0075,1.36539
0.008,1.366678
0.0085,1.367
0.009,1.360237
0.0095,1.358305
0.01,1.374728
0.0105,1.384067
0.011,1.377304
0.0115,1.362492
0.012,1.341882
0.0125,1.329968
0.013,1.331578
0.0135,1.332866
0.014,1.342848
0.0145,1.354119
0.015,1.369576
0.0155,1.353797
0.016,1.280055
0.0165,1.2266
0.017,1.227566
0.0175,1.242379
0.018,1.276191
0.0185,1.296478
0.019,1.315799
0.0195,1.343492
0.02,1.384067
0.0205,1.488079
0.021,1.546686
0.0215,1.565363
0.022,1.576956
0.0225,1.58887
0.023,1.602395
0.0235,1.627191
0.024,1.663579
0.0245,1.695781
0.025,1.712848
0.0255,1.711882
0.026,1.684832
0.0265,1.650054
0.027,1.61753
0.0275,1.57277
0.028,1.533805
0.0285,1.496451
0.029,1.44847
0.0295,1.385999
0.03,1.334476
0.0305,1.298732
0.031,1.289715
0.0315,1.29358
0.032,1.329968
0.0325,1.381813
0.033,1.431081
0.0335,1.453945
0.034,1.462961
0.0345,1.458131
0.035,1.448148
0.0355,1.448792
0.036,1.366678
0.0365,1.330934
0.037,1.332222
0.0375,1.333832
0.038,1.347679
0.0385,1.373118
0.039,1.410472
0.0395,1.425607
0.04,1.467148
0.0405,1.54894
0.041,1.590159
0.0415,1.598209
0.042,1.58565
0.0425,1.568261
0.043,1.551838
0.0435,1.540246
0.044,1.544432
0.0445,1.545398
0.045,1.527365
0.0455,1.523179
0.046,1.510942
0.0465,1.486469
0.047,1.449759
0.0475,1.441708
0.048,1.438488
0.0485,1.43559
0.049,1.44203
0.0495,1.461995
0.05,1.47552
0.0505,1.482282
0.051,1.494197
0.0515,1.50257
0.052,1.490655
0.0525,1.480994
0.053,1.476164
0.0535,1.468758
0.054,1.464893
0.0545,1.477774
0.055,1.504824
0.0555,1.501281
0.056,1.463283
0.0565,1.456199
0.057,1.469724
0.0575,1.485181
0.058,1.485181
0.0585,1.478096
0.059,1.450725
0.0595,1.424963
0.06,1.446538
0.0605,1.44686
0.061,1.43398
